dt      ,x        ,y        ,position ,velocity,acceleration,jerk       ,heading
0.050000,0.003908 ,21.696552,0.003750 ,0.150000,3.000000    ,60.000000  ,0.000769
0.050000,0.015872 ,21.696575,0.015714 ,0.239281,1.785612    ,-24.287762 ,0.003122
0.050000,0.035810 ,21.696676,0.035652 ,0.398769,3.189770    ,28.083160  ,0.007039
0.050000,0.063719 ,21.696949,0.063563 ,0.558206,3.188747    ,-0.020461  ,0.012510
0.050000,0.099593 ,21.697524,0.099441 ,0.717566,3.187183    ,-0.031270  ,0.019524
0.050000,0.143421 ,21.698567,0.143282 ,0.876813,3.184950    ,-0.044667  ,0.028062
0.050000,0.195188 ,21.700280,0.195077 ,1.035907,3.181884    ,-0.061318  ,0.038098
0.050000,0.254870 ,21.702899,0.254817 ,1.194797,3.177793    ,-0.081829  ,0.049600
0.050000,0.322435 ,21.706692,0.322488 ,1.353420,3.172459    ,-0.106676  ,0.062523
0.050000,0.397837 ,21.711954,0.398073 ,1.511702,3.165649    ,-0.136192  ,0.076811
0.050000,0.481016 ,21.719010,0.481551 ,1.669559,3.157125    ,-0.170479  ,0.092395
0.050000,0.571897 ,21.728203,0.572896 ,1.826891,3.146657    ,-0.209376  ,0.109187
0.050000,0.670385 ,21.739895,0.672075 ,1.983593,3.134037    ,-0.252391  ,0.127084
0.050000,0.776366 ,21.754459,0.779053 ,2.139548,3.119103    ,-0.298673  ,0.145964
0.050000,0.889707 ,21.772270,0.893784 ,2.294636,3.101753    ,-0.347013  ,0.165683
0.050000,1.010254 ,21.793700,1.016221 ,2.448734,3.081959    ,-0.395875  ,0.186078
0.050000,1.137834 ,21.819110,1.146307 ,2.601723,3.059784    ,-0.443495  ,0.206966
0.050000,1.272261 ,21.848837,1.283982 ,2.753492,3.035383    ,-0.488016  ,0.228146
0.050000,1.413335 ,21.883191,1.429179 ,2.903942,3.008999    ,-0.527679  ,0.249401
0.050000,1.560852 ,21.922443,1.581829 ,3.052990,2.980948    ,-0.561023  ,0.270500
0.050000,1.714605 ,21.966817,1.741857 ,3.200570,2.951594    ,-0.587091  ,0.291199
0.050000,1.874396 ,22.016485,1.909189 ,3.346635,2.921314    ,-0.605587  ,0.311251
0.050000,2.040039 ,22.071557,2.083747 ,3.491159,2.890466    ,-0.616973  ,0.330399
0.050000,2.211370 ,22.132078,2.265453 ,3.634126,2.859342    ,-0.622476  ,0.348388
0.050000,2.388253 ,22.198023,2.454230 ,3.775533,2.828141    ,-0.624022  ,0.364960
0.050000,2.570589 ,22.269291,2.649999 ,3.915379,2.796936    ,-0.624089  ,0.379858
0.050000,2.758318 ,22.345701,2.852682 ,4.053663,2.765660    ,-0.625522  ,0.392824
0.050000,2.951424 ,22.426989,3.062200 ,4.190367,2.734094    ,-0.631323  ,0.403598
0.050000,3.149945 ,22.512800,3.278473 ,4.325461,2.701872    ,-0.644439  ,0.411915
0.050000,3.353969 ,22.602681,3.501417 ,4.458886,2.668495    ,-0.667555  ,0.417499
0.050000,3.563637 ,22.696074,3.730945 ,4.590553,2.633352    ,-0.702861  ,0.420062
0.050000,3.779144 ,22.792305,3.966962 ,4.720341,2.595764    ,-0.751754  ,0.419294
0.050000,4.000739 ,22.890570,4.209367 ,4.848094,2.555044    ,-0.814396  ,0.414862
0.050000,4.228714 ,22.989917,4.458048 ,4.973623,2.510594    ,-0.889008  ,0.406399
0.050000,4.463402 ,23.089228,4.712884 ,5.096726,2.462056    ,-0.970755  ,0.393507
0.050000,4.705165 ,23.187202,4.973744 ,5.217204,2.409553    ,-1.050061  ,0.375757
0.050000,4.954372 ,23.282328,5.240490 ,5.334906,2.354040    ,-1.110247  ,0.352693
0.050000,5.211379 ,23.372872,5.512980 ,5.449796,2.297808    ,-1.124646  ,0.323855
0.050000,5.476495 ,23.456864,5.791082 ,5.562052,2.245110    ,-1.053957  ,0.288814
0.050000,5.749942 ,23.532104,6.074692 ,5.672193,2.202820    ,-0.845812  ,0.247226
0.050000,6.028322 ,23.595484,6.360196 ,5.710076,0.757665    ,-28.903086 ,0.199544
0.050000,6.307997 ,23.644519,6.644137 ,5.678834,-0.624838   ,-27.650067 ,0.146733
0.050000,6.588619 ,23.677923,6.926740 ,5.652058,-0.535526   ,1.786235   ,0.089529
0.050000,6.869688 ,23.694660,7.208307 ,5.631332,-0.414520   ,2.420123   ,0.028925
0.050000,7.165303 ,23.697805,7.503938 ,5.912633,5.626017    ,120.810739 ,0.014861
0.050000,7.472097 ,23.706014,7.810843 ,6.138087,4.509096    ,-22.338426 ,0.037636
0.050000,7.776904 ,23.720216,8.115980 ,6.102756,-0.706631   ,-104.314531,0.054580
0.050000,8.079881 ,23.738668,8.419518 ,6.070754,-0.640033   ,1.331966   ,0.066243
0.050000,8.381191 ,23.759800,8.721568 ,6.041004,-0.595003   ,0.900597   ,0.073002
0.050000,8.680986 ,23.782152,9.022195 ,6.012537,-0.569330   ,0.513458   ,0.075068
0.050000,8.979385 ,23.804326,9.321418 ,5.984453,-0.561681   ,0.152987   ,0.072506
0.050000,9.276465 ,23.824939,9.619211 ,5.955871,-0.571658   ,-0.199556  ,0.065237
0.050000,9.572233 ,23.842577,9.915505 ,5.925880,-0.599817   ,-0.563169  ,0.053030
0.050000,9.866613 ,23.855755,10.210180,5.893497,-0.647653   ,-0.956721  ,0.035494
0.050000,10.159408,23.862874,10.503061,5.857620,-0.717549   ,-1.397915  ,0.012056
0.050000,10.450256,23.862179,10.793911,5.816992,-0.812549   ,-1.900011  ,6.265123
0.050000,10.738577,23.851723,11.082421,5.770206,-0.935724   ,-2.463488  ,6.227316
0.050000,11.020098,23.829688,11.364803,5.647629,-2.451535   ,-30.316231 ,6.181188
0.050000,11.290267,23.794793,11.637217,5.448281,-3.986959   ,-30.708487 ,6.126452
0.050000,11.547782,23.745882,11.899335,5.242362,-4.118380   ,-2.628406  ,6.062537
0.050000,11.791297,23.682067,12.151073,5.034761,-4.152026   ,-0.672925  ,5.989170
0.050000,12.019393,23.602855,12.392532,4.829174,-4.111747   ,0.805573   ,5.906683
0.050000,12.230748,23.508267,12.624086,4.631099,-3.961497   ,3.005000   ,5.816309
0.050000,12.424344,23.398907,12.846436,4.446991,-3.682158   ,5.586779   ,5.720337
0.050000,12.599638,23.275949,13.060554,4.282354,-3.292746   ,7.788242   ,5.621956
0.050000,12.756624,23.141063,13.267529,4.139515,-2.856773   ,8.719470   ,5.524739
0.050000,12.895804,22.996286,13.468356,4.016533,-2.459632   ,7.942806   ,5.431943
0.050000,13.018081,22.843869,13.663760,3.908080,-2.169066   ,5.811327   ,5.345954
0.050000,13.124648,22.686109,13.854140,3.807607,-2.009453   ,3.192253   ,5.268085
0.050000,13.216876,22.525199,14.039608,3.709344,-1.965272   ,0.883635   ,5.198705
0.050000,13.296217,22.363113,14.220071,3.609260,-2.001679   ,-0.728143  ,5.137520
0.050000,13.364116,22.201546,14.395325,3.505091,-2.083374   ,-1.633911  ,5.083863
0.050000,13.421956,22.041906,14.565120,3.395904,-2.183742   ,-2.007350  ,5.036913
0.050000,13.471017,21.885332,14.729200,3.281597,-2.286147   ,-2.048095  ,4.995831
0.050000,13.512456,21.732734,14.887326,3.162509,-2.381757   ,-1.912212  ,4.959832
0.050000,13.547308,21.584826,15.039284,3.039169,-2.466793   ,-1.700711  ,4.928219
0.050000,13.576481,21.442171,15.184892,2.912152,-2.540346   ,-1.471067  ,4.900387
0.050000,13.600776,21.305209,15.323992,2.782004,-2.602960   ,-1.252286  ,4.875823
0.050000,13.620891,21.174284,15.456453,2.649214,-2.655799   ,-1.056771  ,4.854091
0.050000,13.637432,21.049667,15.582163,2.514204,-2.700197   ,-0.887970  ,4.834827
0.050000,13.650930,20.931569,15.701029,2.377331,-2.737450   ,-0.745042  ,4.817725
0.050000,13.661846,20.820158,15.812974,2.238896,-2.768712   ,-0.625241  ,4.802526
0.050000,13.670581,20.715565,15.917932,2.099147,-2.794977   ,-0.525315  ,4.789016
0.050000,13.677486,20.617894,16.015846,1.958293,-2.817079   ,-0.442035  ,4.777013
0.050000,13.682865,20.527228,16.106672,1.816508,-2.835707   ,-0.372547  ,4.766362
0.050000,13.686984,20.443632,16.190368,1.673937,-2.851424   ,-0.314346  ,4.756935
0.050000,13.690072,20.367159,16.266903,1.530702,-2.864693   ,-0.265387  ,4.748622
0.050000,13.692331,20.297851,16.336249,1.386907,-2.875891   ,-0.223958  ,4.741332
0.050000,13.693931,20.235739,16.398381,1.242641,-2.885322   ,-0.188610  ,4.734986
0.050000,13.695021,20.180851,16.453280,1.097980,-2.893235   ,-0.158262  ,4.729520
0.050000,13.695726,20.133207,16.500929,0.952988,-2.899830   ,-0.131901  ,4.724879
0.050000,13.696152,20.092823,16.541316,0.807725,-2.905269   ,-0.108790  ,4.721018
0.050000,13.696386,20.059712,16.574428,0.662240,-2.909682   ,-0.088261  ,4.717901
0.050000,13.696497,20.033883,16.600257,0.516582,-2.913171   ,-0.069770  ,4.715500
0.050000,13.696539,20.015344,16.618796,0.370791,-2.915814   ,-0.052868  ,4.713792
0.050000,13.696549,20.004098,16.630042,0.224908,-2.917670   ,-0.037114  ,4.712763
0.050000,13.696550,20.000150,16.633990,0.078969,-2.918779   ,-0.022188  ,4.712403
0.050000,13.696550,20.000000,16.634140,0.002995,-1.519476   ,27.986059  ,4.712389
0.050000,13.696550,20.000000,16.634140,0.000000,-0.059898   ,29.191558  ,4.712389
