dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.002458,12.999998,0.003750,0.150000,3.000000,60.000000,6.281954
0.050000,0.009932,12.999975,0.011224,0.149474,-0.010518,-60.210351,6.278177
0.050000,0.022317,12.999874,0.023609,0.247701,1.964534,39.501024,6.271812
0.050000,0.039502,12.999601,0.040797,0.343757,1.921132,-0.868034,6.262750
0.050000,0.061330,12.999026,0.062632,0.436706,1.858975,-1.243145,6.250836
0.050000,0.087587,12.997981,0.088909,0.525546,1.776793,-1.643626,6.235863
0.050000,0.117998,12.996264,0.119370,0.609206,1.673203,-2.071805,6.217574
0.050000,0.152226,12.993642,0.153697,0.686557,1.547015,-2.523756,6.195653
0.050000,0.189858,12.989854,0.191520,0.756447,1.397797,-2.984374,6.169726
0.050000,0.230411,12.984617,0.232409,0.817787,1.226818,-3.419576,6.139367
0.050000,0.273333,12.977638,0.275895,0.869717,1.038585,-3.764662,6.104105
0.050000,0.318026,12.968622,0.321489,0.911874,0.843138,-3.908944,6.063452
0.050000,0.363884,12.957273,0.368730,0.944832,0.659167,-3.679416,6.016948
0.050000,0.410363,12.943293,0.417266,0.970708,0.517513,-2.833079,5.964239
0.050000,0.457077,12.926343,0.466960,0.993887,0.463582,-1.078611,5.905190
0.050000,0.503921,12.905969,0.518043,1.021667,0.555605,1.840447,5.840033
0.050000,0.551168,12.881473,0.571263,1.064387,0.854405,5.976015,5.769513
0.050000,0.599493,12.851768,0.627987,1.134487,1.402005,10.951992,5.695000
0.050000,0.649867,12.815266,0.690196,1.244177,2.193789,15.835677,5.618475
0.050000,0.703320,12.769900,0.760305,1.402186,3.160192,19.328060,5.542351
0.050000,0.760662,12.713327,0.840857,1.611043,4.177133,20.338814,5.469171
0.050000,0.822300,12.643256,0.934180,1.866450,5.108144,18.620233,5.401261
0.050000,0.888245,12.557777,1.042140,2.159202,5.855034,14.937787,5.340488
0.050000,0.958282,12.455540,1.166065,2.478511,6.386183,10.622981,5.288178
0.050000,1.032219,12.335769,1.306820,2.815094,6.731659,6.909523,5.245193
0.050000,1.110129,12.198139,1.464971,3.163027,6.958652,4.539856,5.212102
0.050000,1.192543,12.042607,1.640990,3.520374,7.146938,3.765726,5.189374
0.050000,1.280619,11.869241,1.835446,3.889120,7.374933,4.559901,5.177581
0.050000,1.376308,11.678109,2.049193,4.274940,7.716400,6.829341,5.177578
0.050000,1.482585,11.469239,2.283547,4.687070,8.242596,10.523913,5.190684
0.050000,1.603774,11.242710,2.540456,5.138177,9.022142,15.590919,5.218851
0.050000,1.745979,10.998990,2.822628,5.643458,10.105611,21.669381,5.264799
0.050000,1.917527,10.739770,3.133472,6.216869,11.468236,27.252512,5.331951
0.050000,2.128933,10.469654,3.476481,6.860175,12.866111,27.957495,5.423830
0.050000,2.367515,10.219261,3.822339,6.917163,1.139751,-234.527196,5.511162
0.050000,2.591045,10.010110,4.128460,6.122428,-15.894698,-340.688984,5.551054
0.050000,2.830524,9.803834,4.444530,6.321393,3.979307,397.480093,5.593397
0.050000,3.086441,9.602106,4.770394,6.517280,3.917742,-1.231285,5.638038
0.050000,3.359055,9.406720,5.105795,6.708022,3.814841,-2.058036,5.684720
0.050000,3.648344,9.219533,5.450364,6.891374,3.667045,-2.955903,5.733072
0.050000,3.950144,9.044472,5.799261,6.977951,1.731534,-38.710233,5.782004
0.050000,4.259604,8.884566,6.147593,6.966643,-0.226153,-39.153738,5.830370
0.050000,4.575367,8.740101,6.494834,6.944823,-0.436409,-4.205128,5.877644
0.050000,4.893523,8.612013,6.837806,6.859435,-1.707751,-25.426838,5.922987
0.050000,5.208580,8.500993,7.171852,6.680906,-3.570578,-37.256530,5.965492
0.050000,5.517667,8.406096,7.495179,6.466544,-4.287244,-14.333313,6.004775
0.050000,5.819695,8.325672,7.807731,6.251045,-4.309980,-0.454730,6.040778
0.050000,6.113839,8.258084,8.109540,6.036175,-4.297410,0.251405,6.073535
0.050000,6.399502,8.201758,8.400703,5.823262,-4.258247,0.783251,6.103143
0.050000,6.676278,8.155222,8.681365,5.613235,-4.200544,1.154067,6.129748
0.050000,6.943914,8.117125,8.951699,5.406680,-4.131102,1.388833,6.153522
0.050000,7.202272,8.086247,9.211894,5.203916,-4.055286,1.516321,6.174657
0.050000,7.451298,8.061500,9.462148,5.005062,-3.977084,1.564046,6.193349
0.050000,7.691005,8.041923,9.702652,4.810097,-3.899299,1.555692,6.209791
0.050000,7.921446,8.026671,9.933598,4.618907,-3.823787,1.510239,6.224172
0.050000,8.142705,8.015010,10.155164,4.431323,-3.751683,1.442096,6.236674
0.050000,8.354884,8.006302,10.367521,4.247143,-3.683597,1.361716,6.247467
0.050000,8.558094,7.999999,10.570829,4.066154,-3.619778,1.276366,6.256710
0.050000,8.752452,7.995630,10.765236,3.888143,-3.560235,1.190863,6.264552
0.050000,8.938075,7.992796,10.950881,3.712901,-3.504824,1.108220,6.271132
0.050000,9.115079,7.991156,11.127893,3.540236,-3.453316,1.030159,6.276578
0.050000,9.283576,7.990426,11.296391,3.369964,-3.405441,0.957501,6.281011
0.050000,9.443672,7.990370,11.456487,3.201918,-3.360918,0.890466,0.001356
0.050000,9.595468,7.990791,11.608284,3.035944,-3.319474,0.828884,0.004088
0.050000,9.739062,7.991530,11.751879,2.871901,-3.280857,0.772343,0.006117
0.050000,9.874541,7.992460,11.887362,2.709659,-3.244842,0.720298,0.007535
0.050000,10.001992,7.993482,12.014817,2.549097,-3.211234,0.672145,0.008424
0.050000,10.121493,7.994518,12.134322,2.390104,-3.179871,0.627267,0.008864
0.050000,10.233117,7.995514,12.245951,2.232573,-3.150618,0.585069,0.008927
0.050000,10.336933,7.996431,12.349771,2.076404,-3.123368,0.544996,0.008681
0.050000,10.433005,7.997244,12.445846,1.921502,-3.098040,0.506549,0.008191
0.050000,10.521391,7.997939,12.534235,1.767774,-3.074576,0.469288,0.007514
0.050000,10.602145,7.998515,12.614991,1.615127,-3.052934,0.432838,0.006705
0.050000,10.675317,7.998974,12.688165,1.463472,-3.033090,0.396884,0.005813
0.050000,10.740952,7.999325,12.753801,1.312721,-3.015031,0.361173,0.004883
0.050000,10.799091,7.999583,12.811940,1.162783,-2.998756,0.325509,0.003957
0.050000,10.849769,7.999761,12.862618,1.013570,-2.984268,0.289747,0.003070
0.050000,10.893018,7.999876,12.905868,0.864991,-2.971579,0.253787,0.002254
0.050000,10.928866,7.999944,12.941716,0.716956,-2.960701,0.217571,0.001536
0.050000,10.957335,7.999980,12.970184,0.569373,-2.951647,0.181076,0.000939
0.050000,10.978442,7.999995,12.991292,0.422152,-2.944431,0.144308,0.000481
0.050000,10.992202,7.999999,13.005052,0.275198,-2.939067,0.107296,0.000176
0.050000,10.998623,8.000000,13.011473,0.128420,-2.935562,0.070088,0.000031
0.050000,11.000000,8.000000,13.012850,0.027533,-2.017754,18.356156,0.000000
0.050000,11.000000,8.000000,13.012850,0.000000,-0.550653,29.342030,0.000000
